timestamp,is_walking,fsr,x_acc,y_acc,z_acc
233198,1,4,-0.14,0.01,0.99
233219,1,4,-0.14,0.01,0.99
233239,1,4,-0.14,0.01,0.99
233260,1,4,-0.14,0.01,0.99
233280,1,4,-0.14,0.01,0.99
233303,1,4,-0.14,0.01,0.99
233318,1,4,-0.14,0.01,0.99
233338,1,4,-0.14,0.01,0.99
233358,1,4,-0.14,0.01,0.99
233378,1,4,-0.14,0.01,0.99
233398,1,4,-0.14,0.01,0.99
233418,1,4,-0.14,0.01,0.99
233438,1,4,-0.14,0.01,0.99
233458,1,4,-0.14,0.01,0.99
233478,1,4,-0.14,0.01,0.99
233498,1,4,-0.14,0.01,0.99
233519,1,4,-0.14,0.01,0.99
233539,1,4,-0.14,0.01,0.99
233560,1,4,-0.14,0.01,0.99
233580,1,4,-0.14,0.01,0.99
233601,1,4,-0.14,0.01,0.99
233621,1,4,-0.14,0.01,0.99
233641,1,4,-0.14,0.01,0.99
233664,1,4,-0.14,0.01,0.99
233684,1,4,-0.14,0.01,0.99
233705,1,4,-0.14,0.01,0.99
233725,1,4,-0.14,0.01,0.99
233745,1,4,-0.14,0.01,0.99
233765,1,4,-0.14,0.01,0.99
233785,1,4,-0.14,0.01,0.99
233800,1,4,-0.14,0.01,0.99
233820,1,4,-0.14,0.01,0.99
233840,1,4,-0.14,0.01,0.99
233861,1,4,-0.14,0.01,0.99
233881,1,4,-0.14,0.01,0.99
233902,1,4,-0.14,0.01,0.99
233922,1,4,-0.14,0.01,0.99
233943,1,4,-0.14,0.01,0.99
233963,1,4,-0.14,0.01,0.99
233984,1,4,-0.14,0.01,0.99
234004,1,4,-0.14,0.01,0.99
234024,1,4,-0.14,0.01,0.99
234047,1,4,-0.14,0.01,0.99
234067,1,4,-0.14,0.01,0.99
234087,1,4,-0.14,0.01,0.99
234107,1,4,-0.14,0.01,0.99
234127,1,4,-0.14,0.01,0.99
234147,1,4,-0.14,0.01,0.99
234167,1,4,-0.14,0.01,0.99
234187,1,4,-0.14,0.01,0.99
234207,1,4,-0.14,0.01,0.99
234227,1,4,-0.14,0.01,0.99
234247,1,4,-0.14,0.01,0.99
234267,1,4,-0.14,0.01,0.99
234283,1,4,-0.14,0.01,0.99
234303,1,4,-0.14,0.01,0.99
234323,1,4,-0.14,0.01,0.99
234343,1,4,-0.14,0.01,0.99
234363,1,4,-0.14,0.01,0.99
234383,1,4,-0.14,0.01,0.99
234405,1,4,-0.14,0.01,0.99
234425,1,4,-0.14,0.01,0.99
234445,1,4,-0.14,0.01,0.99
234465,1,4,-0.14,0.01,0.99
234485,1,4,-0.14,0.01,0.99
234505,1,4,-0.14,0.01,0.99
234525,1,4,-0.14,0.01,0.99
234545,1,4,-0.14,0.01,0.99
234565,1,4,-0.14,0.01,0.99
234586,1,4,-0.14,0.01,0.99
234606,1,4,-0.14,0.01,0.99
234627,1,4,-0.14,0.01,0.99
234647,1,4,-0.14,0.01,0.99
234668,1,4,-0.14,0.01,0.99
234688,1,4,-0.14,0.01,0.99
234708,1,4,-0.14,0.01,0.99
234729,1,4,-0.14,0.01,0.99
234749,1,4,-0.14,0.01,0.99
234767,1,4,-0.14,0.01,0.99
234782,1,4,-0.14,0.01,0.99
234802,1,4,-0.14,0.01,0.99
234822,1,4,-0.14,0.01,0.99
234843,1,4,-0.14,0.01,0.99
234863,1,4,-0.14,0.01,0.99
234884,1,4,-0.14,0.01,0.99
234904,1,4,-0.14,0.01,0.99
234925,1,4,-0.14,0.01,0.99
234945,1,4,-0.14,0.01,0.99
234966,1,4,-0.14,0.01,0.99
234986,1,4,-0.14,0.01,0.99
235006,1,4,-0.14,0.01,0.99
235027,1,4,-0.14,0.01,0.99
235047,1,4,-0.14,0.01,0.99
235067,1,4,-0.14,0.01,0.99
235087,1,4,-0.14,0.01,0.99
235107,1,4,-0.14,0.01,0.99
235127,1,4,-0.14,0.01,0.99
235148,1,4,-0.14,0.01,0.99
235168,1,4,-0.14,0.01,0.99
235188,1,4,-0.14,0.01,0.99
235208,1,4,-0.14,0.01,0.99
235228,1,4,-0.14,0.01,0.99
235248,1,4,-0.14,0.01,0.99
235264,1,4,-0.14,0.01,0.99
235284,1,4,-0.14,0.01,0.99
235304,1,4,-0.14,0.01,0.99
235324,1,4,-0.14,0.01,0.99
235344,1,4,-0.14,0.01,0.99
235364,1,4,-0.14,0.01,0.99
235384,1,4,-0.13,0.01,0.99
235404,1,4,-0.13,0.01,0.99
235424,1,4,-0.13,0.01,0.99
235444,1,4,-0.13,0.01,0.99
235464,1,4,-0.13,0.01,0.99
235484,1,4,-0.13,0.01,0.99
235506,1,4,-0.13,0.01,0.99
235526,1,4,-0.13,0.01,0.99
235546,1,4,-0.13,0.01,0.99
235567,1,4,-0.13,0.01,0.99
235587,1,4,-0.13,0.01,0.99
235608,1,4,-0.13,0.01,0.99
235628,1,4,-0.13,0.01,0.99
235649,1,4,-0.13,0.01,0.99
235669,1,4,-0.13,0.01,0.99
235689,1,4,-0.13,0.01,0.99
235710,1,4,-0.13,0.01,0.99
235730,1,4,-0.13,0.01,0.99
235745,1,4,-0.13,0.01,0.99
235765,1,4,-0.13,0.01,0.99
235785,1,4,-0.13,0.01,0.99
235805,1,4,-0.13,0.01,0.99
235825,1,4,-0.13,0.01,0.99
235845,1,4,-0.13,0.01,0.99
235868,1,4,-0.13,0.01,0.99
235888,1,4,-0.13,0.01,0.99
235909,1,4,-0.13,0.01,0.99
235929,1,4,-0.13,0.01,0.99
235950,1,4,-0.13,0.01,0.99
235970,1,4,-0.13,0.01,0.99
235991,1,4,-0.13,0.01,0.99
236011,1,4,-0.13,0.01,0.99
236032,1,4,-0.13,0.01,0.99
236052,1,4,-0.13,0.01,0.99
236072,1,4,-0.13,0.01,0.99
236092,1,4,-0.13,0.01,0.99
236112,1,4,-0.13,0.01,0.99
236132,1,4,-0.13,0.01,0.99
236152,1,4,-0.13,0.01,0.99
236172,1,4,-0.13,0.01,0.99
236192,1,4,-0.13,0.01,0.99
236212,1,4,-0.12,0.06,1.06
236229,1,4,-0.12,0.06,1.06
236250,1,4,-0.13,0.01,0.99
236270,1,4,-0.13,0.01,0.99
236291,1,4,-0.13,0.01,0.99
236311,1,4,-0.13,0.01,0.99
236332,1,4,-0.13,0.01,0.99
236352,1,4,-0.14,0.01,0.99
236372,1,4,-0.14,0.01,0.99
236393,1,4,-0.14,0.01,0.99
236413,1,4,-0.14,0.01,0.99
236433,1,4,-0.14,0.01,0.99
236453,1,4,-0.14,0.01,0.99
236473,1,4,-0.14,0.01,0.99
236493,1,4,-0.14,0.01,0.99
236513,1,4,-0.14,0.01,0.99
236533,1,4,-0.14,0.01,0.99
236553,1,4,-0.14,0.01,0.99
236573,1,4,-0.14,0.01,0.99
236593,1,4,-0.14,0.01,0.99
236615,1,4,-0.14,0.01,0.99
236636,1,4,-0.14,0.01,0.99
236656,1,4,-0.14,0.01,0.99
236677,1,4,-0.14,0.01,0.99
236697,1,4,-0.13,0.01,0.99
236712,1,4,-0.13,0.01,0.99
236732,1,4,-0.13,0.01,0.99
236752,1,4,-0.13,0.01,0.99
236772,1,4,-0.13,0.01,0.99
236792,1,4,-0.13,0.01,0.99
236812,1,4,-0.13,0.01,0.99
236832,1,4,-0.13,0.01,0.99
236852,1,4,-0.13,0.01,0.99
236872,1,4,-0.13,0.01,0.99
236892,1,4,-0.13,0.01,0.99
236912,1,4,-0.13,0.01,0.99
236933,1,4,-0.13,0.01,0.99
236953,1,4,-0.13,0.01,0.99
236976,1,4,-0.13,0.01,0.99
236996,1,4,-0.13,0.01,0.99
237017,1,4,-0.13,0.01,0.99
237037,1,4,-0.13,0.01,0.99
237058,1,4,-0.13,0.01,0.99
237078,1,4,-0.13,0.01,0.99
237099,1,4,-0.13,0.01,0.99
237119,1,4,-0.13,0.01,0.99
237139,1,4,-0.13,0.01,0.99
237159,1,4,-0.13,0.01,0.99
