,fsr_med,is_walking,x_energy,x_mean,x_var,y_energy,y_mean,y_var,z_energy,z_mean,z_var
4548,208.0,1.0,0.05616064,-0.1856,0.0567602424242,2.16420172,0.2226,2.18888812121,0.4731765,0.837,0.47926969697
4599,211.5,1.0,0.048428985,-0.2041,0.0490022121212,0.03274392,-0.032,0.0331292929293,0.590686145,0.9265,0.597416919192
4650,239.0,1.0,0.000503785,-0.1639,0.000508878787878,0.000119705,0.0023,0.00012091919192,0.13868176,1.0432,0.140082585859
4701,242.0,1.0,2.5385e-05,-0.1631,2.56464646456e-05,2.398e-05,0.004,2.42424242432e-05,1.714e-05,0.9878,1.73333333341e-05
4752,245.5,1.0,0.04086038,-0.13,0.0413434343434,0.013929505,-0.0187,0.0140942525253,0.257579105,0.8983,0.260632434343
4803,222.5,1.0,0.04067738,-0.127,0.0411585858586,0.013901545,-0.0195,0.0140674242424,0.257859945,0.8999,0.260910090909
4854,208.5,1.0,5.3305e-05,-0.1587,5.38484848476e-05,3.2585e-05,0.0029,3.29191919199e-05,8.745e-06,0.9895,8.83838383927e-06
4905,213.5,1.0,0.00029434,-0.1546,0.000297818181817,6.2785e-05,0.000300000000003,6.35454545462e-05,0.01266406,0.9704,0.012813979798
4956,217.0,1.0,0.000304385,-0.1549,0.00030807070707,4.648e-05,-0.0012,4.7030303031e-05,0.01265418,0.9702,0.012804
5007,228.5,1.0,0.33963104,-0.2636,0.343645494949,0.263195905,0.0903,0.266312030303,0.785512,1.146,0.794812121212
5058,249.5,1.0,0.339289585,-0.2651,0.343304030303,0.263195905,0.0903,0.266312030303,0.785512,1.146,0.794812121212
5109,247.5,1.0,3.85185988877e-34,-0.16,0.0,5.64e-06,-0.000599999999997,5.69696969772e-06,6.16297582204e-33,0.99,9.33035915645e-16
5160,222.5,1.0,0.00403488,-0.1508,0.00408218181818,3.376e-05,0.000400000000003,3.41818181826e-05,0.048342105,1.0287,0.0489144545455
5211,206.0,1.0,0.001387665,-0.1589,0.00140786868687,3.0865e-05,0.0053,3.1222222223e-05,0.016391385,1.0029,0.016641
5262,199.0,1.0,0.000230505,-0.1603,0.000233242424242,4.745e-06,0.0095,4.79797979876e-06,0.01590778,0.9678,0.0160961212121
5313,196.5,1.0,0.00023806,-0.1612,0.000240969696969,1.162e-05,0.0106,1.17575757584e-05,0.01590778,0.9678,0.0160961212121
5364,169.5,1.0,0.3137885,-0.255,0.317508080808,0.817913585,0.1731,0.827599383838,0.11974756,1.0254,0.121128121212
5415,154.5,1.0,0.314328785,-0.2521,0.318057161616,0.817148945,0.1755,0.826827020202,0.11974756,1.0254,0.121128121212
5466,146.0,1.0,5.1785e-05,-0.1589,5.23131313124e-05,3.884e-05,0.0146,3.92323232328e-05,6.16297582204e-33,0.99,9.77893411589e-16
5517,134.0,1.0,0.000492865,-0.1577,0.000498696969696,4.0705e-05,0.0115,4.11616161621e-05,0.02677248,0.9612,0.0270894545455
5568,130.5,1.0,0.00216018,-0.1422,0.00218298989899,0.002968545,0.0215,0.00300277777778,0.082225665,0.9189,0.0830664545455
5619,154.5,1.0,0.051746065,-0.1007,0.0523580909091,0.359347705,0.1277,0.363599707071,0.14724892,0.903,0.14893030303
5670,162.0,1.0,0.051155585,-0.1069,0.051758979798,0.358551705,0.1223,0.362795666667,0.11155928,0.9308,0.112880161616
5721,159.0,1.0,0.00011226,-0.1434,0.000113575757575,0.000218505,0.0197,0.000221121212122,0.00668944,0.9752,0.00676864646465
5772,169.0,1.0,0.00011466,-0.1446,0.000115999999999,0.000282505,0.0145,0.000285606060607,0.00669312,0.9756,0.00677236363636
5823,167.0,1.0,4.594e-05,-0.1498,4.64242424235e-05,2.484e-05,0.0054,2.50909090915e-05,6.16297582204e-33,0.99,1.02050803274e-15
5874,164.5,1.0,3.8e-05,-0.152,3.83838383831e-05,2.496e-05,0.0048,2.52121212127e-05,6.16297582204e-33,0.99,1.02050803274e-15
5925,156.0,1.0,0.000846465,-0.1507,0.00085506060606,0.00070324,0.0074,0.000710343434344,0.00802816,1.0028,0.00810925252525
5976,147.0,1.0,0.00084562,-0.1506,0.000854181818181,0.000702745,0.0075,0.000709848484849,0.00802816,1.0028,0.00810925252525
6027,133.5,1.0,2.144e-05,-0.1484,2.16565656558e-05,1.716e-05,0.0078,1.73333333339e-05,6.16297582204e-33,0.99,1.01602228314e-15
6078,138.0,1.0,2.3785e-05,-0.1439,2.40303030296e-05,2.3305e-05,0.0137,2.3545454546e-05,6.16297582204e-33,0.99,1.01602228314e-15
6129,148.0,1.0,0.00048652,-0.1474,0.000492161616161,0.914157705,0.1887,0.924981121212,0.027333145,1.0191,0.0276567575758
6180,138.0,1.0,0.00051504,-0.1468,0.000520969696969,0.91433676,0.1882,0.925156323232,0.027333145,1.0191,0.0276567575758
6231,143.0,1.0,8.224e-05,-0.1476,8.307070707e-05,6.2985e-05,0.0101,6.36262626271e-05,1.96e-06,0.9902,1.9797979808e-06
6282,150.0,1.0,3.4105e-05,-0.1517,3.44545454538e-05,1.476e-05,0.0018,1.49090909099e-05,1.96e-06,0.9902,1.9797979808e-06
6333,138.5,1.0,3.2745e-05,-0.1495,3.30808080801e-05,2.4745e-05,0.0045,2.50000000008e-05,6.16297582204e-33,0.99,1.00065399114e-15
6384,134.5,1.0,8.8505e-05,-0.1557,8.94040404033e-05,3.84e-06,0.0096,3.8787878796e-06,6.16297582204e-33,0.99,1.00065399114e-15
6435,135.0,1.0,6.024e-05,-0.1576,6.08484848478e-05,9.785e-06,0.0089,9.8888888897e-06,6.16297582204e-33,0.99,1.00065399114e-15
6486,137.0,1.0,2.9705e-05,-0.1527,3.00101010094e-05,1.9665e-05,0.0073,1.99090909099e-05,6.16297582204e-33,0.99,1.00065399114e-15
6537,147.0,1.0,2.5385e-05,-0.1519,2.56464646458e-05,2.356e-05,0.0038,2.37979797988e-05,6.16297582204e-33,0.99,1.00065399114e-15
6588,153.5,1.0,3.254e-05,-0.1488,3.28888888882e-05,2.905e-06,0.000300000000002,2.93939394017e-06,6.16297582204e-33,0.99,1.00065399114e-15
6639,118.0,1.0,4.522e-05,-0.1474,4.56969696962e-05,0.0,2.06414746406e-15,7.71149883612e-16,6.16297582204e-33,0.99,1.00065399114e-15
6690,123.5,1.0,0.064363105,-0.1967,0.0651253636364,0.1536745,0.069,0.155493939394,0.007555905,1.0053,0.00764536363636
6741,138.0,1.0,0.72144022,-0.344,0.729824242424,0.46626468,0.1122,0.471934505051,0.76919332,0.8226,0.777888121212
6792,136.0,1.0,0.68688198,-0.3168,0.694916929293,0.37010578,0.0562,0.374795515152,0.76047232,0.8124,0.769079030303
