is_walking,median_fsr1,median_fsr2,mean_x,mean_y,mean_z,var_x,var_y,var_z,e_x,e_y,e_z
1,-0.17426,1.0686,-0.50008,0.68031,-0.55614,0.53773,-0.521,0.64305,-0.34146,-0.68206,-0.20976
1,-0.17426,1.0672,0.060105,0.32873,-0.3462,-0.19154,-0.49255,-0.088128,-0.036508,-0.33408,-0.52416
1,-0.17426,1.0648,0.57064,-0.038136,-0.19752,0.003239,-0.50475,-0.25723,0.49932,0.013892,-0.54064
1,-0.17426,1.1339,0.44141,0.43573,-0.33641,0.16206,-0.52366,-0.034792,0.41891,-0.44514,-0.49028
1,-0.17426,1.1821,0.071721,0.1453,-0.74747,0.31885,-0.47238,-0.39752,0.11497,-0.1638,-0.83759
1,-0.17426,1.1771,-0.049378,-0.16042,-0.69487,1.1127,-0.48223,-0.021713,0.22173,0.13235,-0.61784
1,-0.17426,1.0963,0.35022,0.78731,-0.46994,0.72955,-0.55571,0.16956,0.48865,-0.79312,-0.43689
0,-0.17426,-0.24369,-0.17367,-3.0801,-0.9696,3.7137,1.4476,1.6345,0.82429,3.1012,0.23621
0,-0.17426,-0.85498,-2.5863,-3.5386,-2.9389,2.8418,1.4328,0.7207,-1.3711,3.4714,0.59153
0,-0.17426,0.69812,-2.7269,-1.2457,-3.5,1.4813,2.9791,0.82543,-1.8452,1.3244,1.293
1,-0.17426,0.93091,-1.0585,-1.3986,-1.8355,2.6385,3.6201,3.0298,-0.24203,1.4724,1.1087
1,-0.17426,1.0077,-0.07987,0.038294,-0.77821,0.013922,-0.022128,0.10621,-0.1049,-0.037935,-0.56164
