top_x,top_y,top_z,top_timestamp,side_x,side_y,side_z,side_timestamp,front_side_x,front_side_y,front_side_z,front_side_timestamp,front_x,front_y,front_z,front_timestamp,fsr_bottom,fsr_outside
0.0781707764,0.015625,-0.9641876221,87611.9052899167,0.0073699951,-0.9966125488,-0.039855957,7069.9311335,0.0363311768,-0.99949646,-0.0116119385,33566.919337125,0.0299224854,-0.9969787598,-0.0156402588,14588.949548875,0,0
0.065536499,0.0774230957,-1.0209503174,87611.9462139167,0.0082702637,-0.9980163574,-0.0373535156,7069.9725225,0.0369720459,-0.9988555908,-0.0122375488,33566.960841125,0.0294647217,-0.9979553223,-0.0155944824,14588.991357875,0,0
0.1138305664,0.0484924316,-1.0043640137,87611.9871389167,0.0075531006,-0.9974365234,-0.0382385254,7070.0137675,0.037399292,-1.0001983643,-0.012878418,33567.002376125,0.0309448242,-0.9971618652,-0.0156097412,14589.033136875,0,0
0.0835571289,0.0240020752,-0.9817810059,87612.0280629167,0.0068511963,-0.9978637695,-0.0386505127,7070.0551605,0.0355987549,-0.9994506836,-0.0119934082,33567.043879125,0.0308837891,-0.9982147217,-0.0156402588,14589.074945875,0,0
0.0693054199,0.0157012939,-1.0052642822,87612.0689869167,0.0079498291,-0.99659729,-0.0369110107,7070.0965415,0.0365447998,-0.9996795654,-0.0129547119,33567.085383125,0.0305023193,-0.9965209961,-0.0160369873,14589.116754875,0,0
0.0455169678,0.0025634766,-0.9973449707,87612.1099109167,0.0055084229,-0.9965209961,-0.037399292,7070.1379465,0.0364074707,-0.99949646,-0.0119781494,33567.126887125,0.0303192139,-0.9970397949,-0.0155792236,14589.158532875,0,0
0.0791168213,-0.012512207,-0.9990997314,87612.1508349167,0.0059509277,-0.9971160889,-0.0389251709,7070.1793395,0.0372467041,-0.9987640381,-0.0122833252,33567.168422125,0.0305938721,-0.997177124,-0.0159301758,14589.200341875,0,0
0.0871582031,-0.0152893066,-1.0038757324,87612.1917589167,0.0050811768,-0.9969787598,-0.0353851318,7070.2205845,0.0371704102,-0.99949646,-0.0125579834,33567.209926125,0.0306091309,-0.9971008301,-0.0162200928,14589.242120875,0,0
0.0804290771,0.0263977051,-0.9939117432,87612.2327129167,0.0079345703,-0.9964294434,-0.0379180908,7070.2619785,0.0365600586,-0.9995880127,-0.0120239258,33567.251429125,0.0302734375,-0.9974517822,-0.0151062012,14589.2839256667,0,0
0.0604400635,0.0139923096,-0.9953765869,87612.2736069167,0.0063476563,-0.996887207,-0.035736084,7070.3033835,0.0373687744,-0.9994506836,-0.0141906738,33567.29292025,0.0299987793,-0.9970703125,-0.0157318115,14589.3257046667,0,0
0.063079834,0.0495605469,-1.0198516846,87612.3145619167,0.007232666,-0.9969329834,-0.034866333,7070.3447855,0.0376281738,-1,-0.0124969482,33567.33445525,0.0294647217,-0.9969177246,-0.0151062012,14589.3675136667,0,0
